filename,word,type,description
1200-essential-english-words.md,family,Family & People,"a group of people related to each other, like parents and children"
1200-essential-english-words.md,mother,Family & People,a female parent
1200-essential-english-words.md,father,Family & People,a male parent
1200-essential-english-words.md,parent,Family & People,a mother or father
1200-essential-english-words-with-chinese.md,family,Family & People,"a group of people related to each other, like parents and children"
1200-essential-english-words-with-chinese.md,mother,Family & People,a female parent
1200-essential-english-words-with-chinese.md,father,Family & People,a male parent
1200-essential-english-words-with-chinese.md,parent,Family & People,a mother or father
3000-junior-high-school-words.md,assignment,Academic Life & Study Skills,a task or piece of work given by a teacher
3000-junior-high-school-words.md,essay,Academic Life & Study Skills,a short piece of writing on a particular topic
3000-junior-high-school-words.md,grammar,Academic Life & Study Skills,the rules for forming words and sentences in a language
3000-junior-high-school-words.md,literature,Academic Life & Study Skills,"written works such as novels, poems, and plays"
8000-senior-high-school-words.md,amoeba,Biology & Life Sciences,A single-celled organism that moves by changing its shape
8000-senior-high-school-words.md,antibody,Biology & Life Sciences,A protein produced by the immune system to fight specific pathogens
8000-senior-high-school-words.md,antigen,Biology & Life Sciences,A foreign substance that triggers an immune response in the body
8000-senior-high-school-words.md,biochemistry,Biology & Life Sciences,The study of chemical processes within living organisms
